"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW9";"ALPS-SSSS811101_SPDT";1;"POWER";;;
2;"J1";"ISP_SMD";1;"ISP";;;
3;"U1";"1.3-OLED-bare-noslot";1;"1.3-OLED";;;
4;"SW7";"SW_SOFT_SMD_6mm";1;"BTN_C";;;
5;"SW0";"SW_SOFT_SMD_6mm";1;"RESET";;;
6;"SW1";"SW_SOFT_SMD_6mm";1;"UP";;;
7;"SW2";"SW_SOFT_SMD_6mm";1;"DOWN";;;
8;"SW3";"SW_SOFT_SMD_6mm";1;"LEFT";;;
9;"SW4";"SW_SOFT_SMD_6mm";1;"RIGHT";;;
10;"SW5";"SW_SOFT_SMD_6mm";1;"BTN_A";;;
11;"SW6";"SW_SOFT_SMD_6mm";1;"BTN_B";;;
12;"J2";"USB_Micro-B_Molex-105017-0001";1;"USB-Micro";;;
13;"LS1";"Generic_Speaker";1;"Speaker";;;
14;"U2";"SOT-23-5_HandSoldering";1;"CHG CTRL";;;
15;"U3";"SOT-23_Handsoldering";1;"Reg";;;
16;"J3";"M2_SCREW_HOLE";1;"Screw Point 1";;;
17;"J4";"M2_SCREW_HOLE";1;"Screw Point 2";;;
18;"J5";"M2_SCREW_HOLE";1;"Screw Point 3";;;
19;"J6";"M2_SCREW_HOLE";1;"Screw Point 4";;;
20;"SW8";"SW_SOFT_SMD_6mm";1;"BTN_D";;;
21;"J0";"150mAh-Lipo";1;"Battery Pads";;;
22;"C2,C3,C4,C10,C11";"C_0805_2012Metric";5;"1uF";;;
23;"C5,C6";"C_0805_2012Metric";2;"4.7uF";;;
24;"C7,C12";"C_0805_2012Metric";2;"0.1uF";;;
25;"C8";"C_0805_2012Metric";1;"47uF";;;
26;"C9";"C_0805_2012Metric";1;"22uF";;;
27;"D1";"LED_0805_2012Metric";1;"USR_1";;;
28;"D2";"LED_0805_2012Metric";1;"USR_2";;;
29;"R0";"R_0805_2012Metric";1;"1K";;;
30;"R1,R6,R7";"R_0805_2012Metric";3;"LED";;;
31;"R2";"R_0805_2012Metric";1;"2K";;;
32;"R3,R4";"R_0805_2012Metric";2;"10M";;;
33;"R5";"R_0805_2012Metric";1;"290k";;;
34;"C1,C15";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.1uF";;;
35;"C13,C14";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22pF";;;
36;"D0";"LED_0805_2012Metric";1;"CHG";;;
37;"U0";"TQFP-44_10x10mm_P0.8mm";1;"ATmega1284P-MU";;;
38;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"20MHz";;;
